,NBAC_nfireid,WFS event,T2_area,dice_coefficient,Relative Percent Difference,NFDB_fireid
85,,979,215243905.55264252,0.4868197969079013,101.97220782351467,23SR-JACKFISH
86,989.0,985,1711941.50115556,0.5241925891015643,63.81711324391579,
87,,985,1711941.50115556,0.5241925891006614,63.81711324371416,23LF-PLAKE
88,641.0,995,3279685.4141006414,0.018605111041521367,191.72186324782078,
89,,995,3279685.4141006414,0.04370854745091469,189.36855849315808,23LA-SHARP
90,162.0,996,4032354.52664225,0.35276782256282185,127.7187320925006,
91,988.0,997,2361495.4341998925,0.782819160393569,20.70994793897597,
92,,997,2361495.4341998925,0.7828191603919247,20.709947938907657,23BN-BNIR02
93,670.0,998,23265146.985039968,0.6308262668139195,19.778766703471433,
94,,998,23265146.985039968,0.7472937039967997,6.393803861285201,23BN-AARON
95,641.0,1006,184734.14216927526,0.0009190709187640051,199.52443147128872,
96,988.0,1027,282289.36416140356,0.08125639763875706,164.59590653233985,
97,,1027,282289.36416140356,0.08125639763892381,164.59590653231757,23BN-BNIR02
98,655.0,1030,113229.40071612189,0.0003440886617686073,199.88067700519042,
99,,1030,113229.40071612189,0.0002752802130167264,199.88874600213137,23LX-BOLDING
100,641.0,1044,487263.44174399023,0.00155918677704743,198.74805571064496,
101,641.0,1051,180535.73142158243,0.0017414768300428307,199.53522705053246,
102,660.0,1057,12476794.588255484,0.7850907376844467,24.772980388140688,
103,,1057,12476794.588255484,0.7868602099103092,26.356773003068852,23LX-CENTIPEDE
104,670.0,1062,282289.3642321313,0.02034615531798682,194.16757205885352,
105,,1062,282289.3642321313,0.01901035409559233,195.49851129149488,23BN-AARON
106,625.0,1072,112926.64392395828,0.0023947812637555685,199.43018810615806,
107,,1072,112926.64392395828,0.002369252221927683,199.5253207319259,23DB-KPIR02
108,670.0,1074,113229.40039500817,0.009194854334675056,197.63993926056048,
109,,1074,113229.40039500817,0.00898849695356993,198.182151055695,23BN-AARON
110,655.0,1075,209786.39486665974,0.0010531889164619788,199.77897988900207,
111,,1075,209786.39486665974,0.0009460693961091862,199.79392242133886,23LX-BOLDING
112,628.0,1131,644832079.6408118,0.8520464285165649,27.770482873902747,
113,,1131,644832079.6408118,0.9101920905305059,16.349054555469664,23LA-KENNY
114,634.0,1141,11902187.562049879,0.6912993118792976,55.00058327743279,
115,,1141,11902187.562049879,0.7400670468278849,41.467982415317124,23LA-GOW
116,990.0,1161,752156.9385429567,0.73868948966646,49.1006220440663,
117,,1161,752156.9385429567,0.7386894896618293,49.100622044497214,23LF-GRASSY
118,637.0,1205,231117964.07004505,0.7958043879010318,39.679739736593795,
119,,1205,231117964.07004505,0.8498710785336132,28.802900784944637,23LA-WAPA
120,606.0,1228,446352.5724692129,6.682063797305373e-05,199.0127599199793,
121,,1228,446352.5724692129,0.00018420360897969973,199.0732667092767,23SR-RIACH
122,640.0,1232,13945249.723031893,0.7133502779346599,2.902227507890061,
123,,1232,13945249.723031893,0.751706021500164,5.1181661954089925,23LA-SUTTLE
124,991.0,1249,948919.4152273972,0.6486627910154105,70.2674417969179,
125,,1249,948919.4152273972,0.6486627910156416,70.26744179687161,23LA-PINK
126,650.0,1285,60826815.85421531,0.8147217987758145,11.99607766986862,
127,,1285,60826815.85421531,0.9094025290405219,10.07510115189853,23LA-BLACK
128,647.0,1331,69345937.52615109,0.7345299669762898,38.214031111052954,
129,,1331,69345937.52615109,0.12463562211462954,168.83705754452816,23LA-ISLAND
130,,1331,69345937.52615109,0.7662076321084629,35.32397740713545,23LA-SHADD
131,663.0,1360,5316031.015715816,0.5168508673655057,5.094432718612124,
132,,1360,5316031.015715816,0.5708137564859292,8.407662880091985,23SR-MCCRADY
133,619.0,1371,20239349.07133207,0.760066688829325,37.814193252651194,
134,,1371,20239349.07133207,0.651345404994733,69.43934521507049,23SR-KILLOCK
135,,1371,20239349.07133207,0.3260414254204157,121.42924708664265,23SR-MANSON
136,610.0,1372,10835844.450826826,0.7333333641284742,31.965083847714837,
137,,1372,10835844.450826826,0.71613152686536,34.602416054289165,23SR-ANDERSON
138,649.0,1376,46764801.64294796,0.7779756489014772,24.400157783866348,
139,,1376,46764801.64294796,0.7981945772226707,18.67788471477656,23LX-TIMSON
140,612.0,1382,4021137.0324327643,0.7544684019172603,25.821463476153784,
141,,1382,4021137.0324327643,0.7743620925281502,29.81938157999167,23SR-KINGSTON
142,630.0,1387,881322.184074587,0.017354407740450876,195.77406457733903,
143,610.0,1402,280153.10693006864,0.036653234724503346,192.6462136155702,
144,,1402,280153.10693006864,0.03574987966012686,192.83948117537508,23SR-ANDERSON
145,610.0,1405,282289.36415829865,0.012430704543016254,192.5911772614623,
146,,1405,282289.36415829865,0.013153301004651948,192.78586467645425,23SR-ANDERSON
147,612.0,1406,76087.08985571211,0.02789932840207601,194.24614418710914,
148,,1406,76087.08985571211,0.027172440644065647,194.47283226365326,23SR-KINGSTON
149,610.0,1409,113229.40035795436,0.006480093840290223,196.9949043974524,
150,,1409,113229.40035795436,0.009708227766881981,197.07473389040857,23SR-ANDERSON
151,994.0,1412,2168378.45351716,0.5783723886052309,36.04984521048274,
152,,1412,2168378.45351716,0.5783723886017552,36.04984521071483,23DB-LIME
153,610.0,1414,179671.0683618571,0.02210085707373462,195.25247887680484,
154,,1414,179671.0683618571,0.022944647659433638,195.37805650966527,23SR-ANDERSON
155,638.0,1418,34038496.51947451,0.8068309853752537,22.70826096140177,
156,,1418,34038496.51947451,0.8460901658190874,13.308401101706902,23LA-HEPBURN
157,1022.0,1421,352177.7967415924,0.7038621661238538,59.22756677522928,
158,,1421,352177.7967415924,0.7038621661232081,59.2275667753583,23DN-PAWR01
159,627.0,1426,1246742.3871218604,0.6444130715290172,28.230668510310235,
160,,1426,1246742.3871218604,0.6383611580505382,69.71244535339606,23LA-MAY
161,630.0,1429,79460.2378554088,0.00039668436436968645,199.61529061484035,
162,647.0,1430,282289.3641132779,0.010168784099621249,197.61677702791184,
163,,1430,282289.3641132779,0.011566987530619662,197.68660249387605,23LA-SHADD
164,647.0,1431,113229.40039506367,0.002489913268996387,199.04063958282626,
165,,1431,113229.40039506367,0.003064859029182207,199.06884534409716,23LA-SHADD
166,999.0,1467,1034246.836316102,0.6525053368098064,45.14904516096773,
167,,1467,1034246.836316102,0.6525053368096889,45.149045161024844,23BN-DIGBY
168,999.0,1468,282289.36423219857,0.07477551064393614,79.30964480254677,
169,,1468,282289.36423219857,0.0747755106447841,79.30964480249607,23BN-DIGBY
170,661.0,1473,106165.46213274026,0.0006116547388796379,199.87424600081215,
171,,1473,106165.46213274026,0.00018847675574668708,199.89808142806518,23BN-SHAD
172,54.0,1474,98287125.06109047,0.8557966852032185,22.70010029303694,
173,,1474,98287125.06109047,0.8912596411352643,15.801155751661632,23SR-DORRELL
174,997.0,1485,113229.40045791012,0.26280640766027064,111.68295590551062,
175,,1485,113229.40045791012,0.26280640763974317,111.68295590508083,23DB-TWIGGE
