,NBAC_nfireid,WFS event,area,dice_coefficient,NFDB_fireid
273,1011.0,1807,656885.4983921553,0.7456054616142889,
274,,1807,656885.4983921553,0.7456054616179977,23SR-MAX
275,1011.0,1814,273513.12840075657,0.13624808542590922,
276,,1814,273513.12840075657,0.13624808542405178,23SR-MAX
277,665.0,1829,1418804.6489534213,0.01526435569537087,
278,,1829,1418804.6489534213,0.040854956217949955,23BN-BENT
279,667.0,1839,3323781.8875057176,0.807558223989525,
280,134.0,1848,3121223.136696024,0.582160771468892,
281,,1862,543821.38452377,0.004953327306236501,23LA-BAY
282,636.0,1867,46510571.63215156,0.7171909933293797,
283,,1867,46510571.63215156,0.8473098917042514,23LA-BRAD
284,1016.0,1886,2399489.749937469,0.6686196395274582,
285,,1886,2399489.749937469,0.6686196395298009,23LF-BAIRD
286,1020.0,1920,113229.40052333019,0.25939635611345463,
287,,1920,113229.40052333019,0.2593963561105505,23LA-KEY
288,1020.0,1929,1388845.0217052023,0.30155303087996965,
289,,1929,1388845.0217052023,0.3015530308848939,23LA-KEY
290,669.0,1946,15561054.16083291,0.5016812641107237,
291,,1946,15561054.16083291,0.9030271418669576,23BN-LINVALL
292,1014.0,1947,3267797.340009728,0.8491166597372746,
293,,1947,3267797.340009728,0.8491166597354856,23LA-LEPP
294,,1949,282289.36412377155,0.001770432446000167,23LA-BAY
295,621.0,1951,7645947.872893861,0.6275693302564456,
296,,1951,7645947.872893861,0.905845486530975,23DB-DEER
297,672.0,1952,11202626.972522888,0.6479491829997837,
298,,1952,11202626.972522888,0.8225120857072831,23BN-GARSON
299,645.0,1953,81796221.35230164,0.7854366473469182,
300,,1953,81796221.35230164,0.8960052692731281,23LA-MCTAVISH
301,1018.0,1956,452462.17916903034,0.15065978836591887,
302,,1956,452462.17916903034,0.1506597883631617,23DB-PNIR29
303,623.0,1963,5937272.031470501,0.6380015907987255,
304,,1963,5937272.031470501,0.6406917843528058,23LA-ERROL
305,1012.0,1968,2241597.878444268,0.9346887570790178,
306,,1968,2241597.878444268,0.9346887570784062,23SR-LLHIR03
307,656.0,1974,4488573.332306569,0.6206250357697956,
308,,1974,4488573.332306569,0.8044958477424828,23LA-HARDY
309,,1981,282289.36409937695,0.011686128239782986,23BN-LINVALL
310,,1989,361739.89427911176,0.0005837244657313979,23SR-HAMIL
311,1019.0,2029,787314.5699928356,0.3205716778144719,
312,,2029,787314.5699928356,0.320571677812934,23PA-FOX
313,1013.0,2037,80026.60512951162,0.12339380802187848,
314,,2037,80026.60512951162,0.12339380801297133,23LA-ROBERTS
315,1017.0,2053,616996.4411804244,0.8210658150770825,
316,,2053,616996.4411804244,0.8210658150757272,23LA-WILMA
317,54.0,,,0.9479838200972656,23SR-DORRELL
318,349.0,,,0.002207578044096736,23LA-CHURCH
319,349.0,,,0.641684083875826,23LA-MCCRAE
320,349.0,,,0.07925919619150906,23LX-ELLERAAS
321,349.0,,,0.016278792483719582,23LX-HAULTAIN
322,349.0,,,0.46994237439055875,23LX-SMITH
323,350.0,,,0.001284104182595786,23LX-PELICAN
324,350.0,,,0.7551913371604523,23LX-SHAW
325,351.0,,,2.433638266643959e-05,23BN-HILLS
326,351.0,,,0.7375232286803557,23BN-VERMETTE
327,352.0,,,0.8588202097626243,23LX-LSZ001
328,606.0,,,0.9546560236885169,23SR-RIACH
329,607.0,,,0.9020798837127936,23SR-KAY
330,608.0,,,0.3324136882890857,23SR-DEBUS
331,608.0,,,0.5168909687403656,23SR-DEBUS2
332,608.0,,,0.5411097141479176,23SR-JACKFISH
333,609.0,,,0.9436704013208295,23SR-ZANGE
334,610.0,,,0.9536845895257174,23SR-ANDERSON
335,611.0,,,0.91497990472768,23LA-KINO
336,612.0,,,0.951668163775685,23SR-KINGSTON
337,613.0,,,0.041329799342888614,23DB-KAMATSI
338,613.0,,,0.7928349576417907,23DB-LAIRD
339,614.0,,,0.9013564110606077,23LA-BED
340,615.0,,,0.26062392499035114,23LA-COWIE
341,615.0,,,0.8471036103655081,23LA-KOLWASKIE
342,616.0,,,0.8845612466575282,23SR-MESSUM
343,617.0,,,0.9226066619232278,23SR-BENTLEY
344,618.0,,,0.9215894020880799,23SR-PHELPS
345,619.0,,,0.760617915539321,23SR-KILLOCK
346,619.0,,,0.47992430038541445,23SR-MANSON
347,620.0,,,0.4799010258613173,23LA-CAIRNS
348,620.0,,,0.7334141132107456,23LA-MULLIN
349,621.0,,,0.7056250903265705,23DB-DEER
350,622.0,,,0.8404698755289273,23LA-GERMAN
351,623.0,,,0.9501146915596863,23LA-ERROL
352,624.0,,,0.9129955687942848,23SR-HAMIL
353,625.0,,,0.9032702996040414,23DB-KPIR02
354,626.0,,,0.8368389309175986,23LA-BAY
355,627.0,,,0.4899937450324548,23LA-MAY
356,628.0,,,0.9260300680146707,23LA-KENNY
357,629.0,,,0.8602658686188039,23SR-EISEN
358,629.0,,,0.15915605729101137,23SR-EISEN2
359,630.0,,,0.920172865121969,23SR-SOMER
360,631.0,,,0.8013365153387848,23DB-TRAILL
361,632.0,,,0.9433241207461437,23LA-DECEPTION
362,633.0,,,0.945730874793536,23SR-SEGUIN
363,634.0,,,0.9036608818102337,23LA-GOW
364,635.0,,,0.844298465586351,23LA-POOLE
365,636.0,,,0.8457773696359382,23LA-BRAD
366,637.0,,,0.9022981616807447,23LA-WAPA
367,638.0,,,0.928616415160504,23LA-HEPBURN
368,639.0,,,0.921416466026553,23SR-PREMIER
369,640.0,,,0.9289453539138677,23LA-SUTTLE
370,641.0,,,0.735586850864317,23LA-SHARP
371,642.0,,,0.6580262274613187,23LA-PELT
372,643.0,,,0.7615514610975416,23LF-ROCKY
373,644.0,,,0.8985893985870657,23LA-NICOLE
374,645.0,,,0.8492902758790736,23LA-MCTAVISH
375,646.0,,,0.8577436101176406,23SR-TODOS
376,647.0,,,0.1791283799479042,23LA-ISLAND
377,647.0,,,0.7871466186082466,23LA-SHADD
378,649.0,,,0.9642768436055866,23LX-TIMSON
379,650.0,,,0.8838464689851612,23LA-BLACK
380,651.0,,,0.843146580564779,23WY-MEYAK
381,652.0,,,0.8191638994032288,23LA-WISTIGO
382,653.0,,,0.9556866969932261,23LX-CREE
383,654.0,,,0.9372547692886841,23SR-HELMER
384,655.0,,,0.9410658113034931,23LX-BOLDING
385,656.0,,,0.6714897997613175,23LA-HARDY
386,657.0,,,0.8592964634081124,23PA-SLIR03
387,659.0,,,0.8844708077080143,23PA-LILLY
388,660.0,,,0.9549480514298097,23LX-CENTIPEDE
389,661.0,,,0.8354232141258985,23BN-SHAD
390,663.0,,,0.9197599809262939,23SR-MCCRADY
