,NBAC_nfireid,WFS event,area,dice_coefficient
110,1005.0,1590,607827.659094595,0.5368949081169672
111,636.0,1595,3087137.411073594,0.1173753784883525
112,163.0,1602,2181610.0834190715,0.865174579234368
113,631.0,1613,21671691.23253628,0.7117709919161275
114,624.0,1623,155118902.86876127,0.7007883031965635
115,1004.0,1625,1335821.8069390187,0.6320358329629632
116,629.0,1627,44206916.947396584,0.728406539793587
117,647.0,1636,113229.40056041392,0.004796802092856541
118,639.0,1639,3379245.0444770614,0.7697199544487843
119,614.0,1652,144197.51440543254,0.011150798559020902
120,1004.0,1662,113229.40055403799,0.0069077125101970815
121,629.0,1681,706038.0328449582,0.036373506520122285
122,620.0,1685,10052428.711190937,0.6358743119101395
123,665.0,1698,91925124.35939851,0.7916177804064654
124,629.0,1709,113229.40057283554,0.005656130882032035
125,616.0,1739,94451.08460362007,0.0030053658789524025
126,617.0,1740,339696.77933982183,0.04509790701071341
127,618.0,1741,113229.40044138813,0.005978133272604602
128,613.0,1743,7013703.543208475,0.7226314060011909
129,2143.0,1760,7454541.728563634,0.6841060482631616
130,1010.0,1764,990048.5170925754,0.5369075325533793
131,620.0,1778,615871.7191446848,0.08891708146014557
132,614.0,1780,24782786.47930746,0.7733572839659156
133,620.0,1787,4650738.190011981,0.3174088499218471
134,614.0,1796,1001336.2130052507,0.016102316532034713
135,1011.0,1807,656885.4983921553,0.7456054616142889
136,1011.0,1814,273513.12840075657,0.13624808542590922
137,665.0,1829,1418804.6489534213,0.01526435569537087
138,667.0,1839,3323781.8875057176,0.807558223989525
139,134.0,1848,3121223.136696024,0.582160771468892
140,636.0,1867,46510571.63215156,0.7171909933293797
141,1016.0,1886,2399489.749937469,0.6686196395274582
142,1020.0,1920,113229.40052333019,0.25939635611345463
143,1020.0,1929,1388845.0217052023,0.30155303087996965
144,669.0,1946,15561054.16083291,0.5016812641107237
145,1014.0,1947,3267797.340009728,0.8491166597372746
146,621.0,1951,7645947.872893861,0.6275693302564456
147,672.0,1952,11202626.972522888,0.6479491829997837
148,645.0,1953,81796221.35230164,0.7854366473469182
149,1018.0,1956,452462.17916903034,0.15065978836591887
150,623.0,1963,5937272.031470501,0.6380015907987255
151,1012.0,1968,2241597.878444268,0.9346887570790178
152,656.0,1974,4488573.332306569,0.6206250357697956
153,1019.0,2029,787314.5699928356,0.3205716778144719
154,1013.0,2037,80026.60512951162,0.12339380802187848
155,1017.0,2053,616996.4411804244,0.8210658150770825
